Date,Open,High,Low,Close,Adj Close,Volume
2014-08-11,6567.399902,6645.799805,6567.399902,6632.799805,6632.799805,494367000
2014-08-12,6632.799805,6643.700195,6612.500000,6632.399902,6632.399902,448281800
2014-08-13,6632.399902,6664.299805,6626.000000,6656.700195,6656.700195,527733500
2014-08-14,6656.700195,6694.600098,6641.799805,6685.299805,6685.299805,512629300
2014-08-15,6685.299805,6742.799805,6685.299805,6689.100098,6689.100098,545581000
2014-08-18,6689.100098,6745.700195,6689.100098,6741.299805,6741.299805,413053500
2014-08-19,6741.299805,6782.899902,6740.700195,6779.299805,6779.299805,463536900
2014-08-20,6779.299805,6781.200195,6739.799805,6755.500000,6755.500000,466211000
2014-08-21,6755.500000,6780.700195,6752.700195,6777.700195,6777.700195,423431000
2014-08-22,6777.700195,6784.600098,6746.399902,6775.299805,6775.299805,571522600
2014-08-26,6775.299805,6827.299805,6775.299805,6822.799805,6822.799805,538317700
2014-08-27,6822.799805,6830.700195,6813.200195,6830.700195,6830.700195,481233300
2014-08-28,6830.700195,6831.200195,6796.899902,6805.799805,6805.799805,498070100
2014-08-29,6805.799805,6828.899902,6782.600098,6819.799805,6819.799805,720978600
2014-09-01,6819.799805,6825.299805,6798.299805,6825.299805,6825.299805,404272400
2014-09-02,6825.299805,6849.299805,6812.299805,6829.200195,6829.200195,820230900
2014-09-03,6829.200195,6898.600098,6826.700195,6873.600098,6873.600098,674899700
2014-09-04,6873.600098,6904.899902,6866.299805,6878.000000,6878.000000,689038700
2014-09-05,6878.000000,6885.000000,6829.100098,6855.100098,6855.100098,596549800
2014-09-08,6855.100098,6855.100098,6773.799805,6834.799805,6834.799805,754127500
2014-09-09,6834.799805,6846.200195,6812.500000,6829.000000,6829.000000,580798600
2014-09-10,6829.000000,6847.799805,6800.000000,6830.100098,6830.100098,585612100
2014-09-11,6830.100098,6857.500000,6764.899902,6799.600098,6799.600098,648015500
2014-09-12,6799.600098,6832.200195,6799.399902,6807.000000,6807.000000,552974800
2014-09-15,6807.000000,6813.899902,6771.700195,6804.200195,6804.200195,529231800
2014-09-16,6804.200195,6804.299805,6748.100098,6792.200195,6792.200195,592887700
2014-09-17,6792.200195,6816.899902,6780.899902,6780.899902,6780.899902,596526700
2014-09-18,6780.899902,6822.600098,6769.600098,6819.299805,6819.299805,644480400
2014-09-19,6819.299805,6876.000000,6819.299805,6837.899902,6837.899902,1551957500
2014-09-22,6837.899902,6838.399902,6766.899902,6773.600098,6773.600098,675055200
2014-09-23,6773.600098,6777.299805,6647.200195,6676.100098,6676.100098,762840800
2014-09-24,6676.100098,6707.299805,6652.000000,6706.299805,6706.299805,793646000
2014-09-25,6706.299805,6726.399902,6621.500000,6639.700195,6639.700195,927894000
2014-09-26,6639.700195,6664.000000,6615.100098,6649.399902,6649.399902,589221500
2014-09-29,6649.399902,6653.899902,6608.700195,6646.600098,6646.600098,564786600
2014-09-30,6646.600098,6658.899902,6601.600098,6622.700195,6622.700195,882273900
2014-10-01,6622.700195,6622.799805,6539.700195,6557.500000,6557.500000,789707300
2014-10-02,6557.500000,6557.700195,6446.399902,6446.399902,6446.399902,807089800
2014-10-03,6446.399902,6542.899902,6446.399902,6527.899902,6527.899902,750613100
2014-10-06,6527.899902,6588.299805,6527.899902,6563.700195,6563.700195,722223000
2014-10-07,6563.700195,6563.799805,6495.600098,6495.600098,6495.600098,858099000
2014-10-08,6495.600098,6502.399902,6453.799805,6482.200195,6482.200195,822967200
2014-10-09,6482.200195,6544.200195,6425.200195,6431.899902,6431.899902,864389000
2014-10-10,6431.899902,6431.899902,6328.399902,6340.000000,6340.000000,897708400
2014-10-13,6340.000000,6387.399902,6294.600098,6366.200195,6366.200195,846365400
2014-10-14,6366.200195,6403.399902,6304.299805,6392.700195,6392.700195,831098100
2014-10-15,6392.700195,6405.000000,6211.600098,6211.600098,6211.600098,1137435900
2014-10-16,6211.600098,6283.000000,6072.700195,6195.899902,6195.899902,1697447000
2014-10-17,6195.899902,6313.000000,6188.000000,6310.299805,6310.299805,1106053200
2014-10-20,6310.299805,6320.299805,6238.600098,6267.100098,6267.100098,723302900
2014-10-21,6267.100098,6372.299805,6229.399902,6372.299805,6372.299805,856658100
2014-10-22,6372.299805,6401.500000,6341.399902,6399.700195,6399.700195,727170300
2014-10-23,6399.700195,6430.299805,6313.299805,6419.200195,6419.200195,840402100
2014-10-24,6419.200195,6419.200195,6372.399902,6388.700195,6388.700195,717827900
2014-10-27,6388.700195,6443.799805,6336.100098,6363.500000,6363.500000,781565600
2014-10-28,6363.500000,6412.000000,6363.500000,6402.200195,6402.200195,800681500
2014-10-29,6402.200195,6475.399902,6402.200195,6453.899902,6453.899902,700842900
2014-10-30,6453.899902,6483.200195,6378.200195,6463.600098,6463.600098,815851600
2014-10-31,6463.600098,6553.399902,6463.600098,6546.500000,6546.500000,1062914700
2014-11-03,6546.500000,6559.600098,6478.500000,6488.000000,6488.000000,712567500
2014-11-04,6488.000000,6510.299805,6444.899902,6454.000000,6454.000000,816651600
2014-11-05,6454.000000,6539.100098,6454.000000,6539.100098,6539.100098,769396700
2014-11-06,6539.100098,6580.200195,6503.799805,6551.200195,6551.200195,799914900
2014-11-07,6551.200195,6608.200195,6551.200195,6567.200195,6567.200195,764955100
2014-11-10,6567.200195,6611.299805,6566.799805,6611.299805,6611.299805,575418400
2014-11-11,6611.299805,6632.600098,6605.299805,6627.399902,6627.399902,764945500
2014-11-12,6627.399902,6629.299805,6588.899902,6611.000000,6611.000000,703040700
2014-11-13,6611.000000,6645.899902,6596.899902,6635.500000,6635.500000,721388700
